partida_id,rodata,clube,chutes,chutes_no_alvo,posse_de_bola,passes,precisao_passes,faltas,cartao_amarelo,cartao_vermelho,impedimentos,escanteios
9065,28,Juventude,10,1,36,242,90,15,6,0,1,2
9065,28,Fluminense,13,1,64,530,93,12,2,0,0,8
9066,29,Corinthians,9,1,65,519,92,15,3,0,3,5
9066,29,Atletico-MG,7,1,35,275,89,19,3,0,1,3
9067,29,Fortaleza,19,6,42,332,94,16,5,0,0,6
9067,29,Cruzeiro,9,5,58,461,88,13,1,0,0,3
9068,29,Flamengo,7,4,49,354,84,11,4,0,1,1
9068,29,Palmeiras,18,8,51,394,88,13,2,1,0,8
9069,29,Botafogo-RJ,10,4,52,330,88,13,3,0,1,5
9069,29,Ceara,17,3,48,370,93,10,2,0,5,9
9070,29,Mirassol,12,8,38,280,87,9,3,0,0,3
9070,29,Sao Paulo,12,5,62,519,92,14,3,0,5,7
9071,29,Sport,8,1,47,493,92,14,2,0,2,6
9071,29,Internacional,13,6,53,195,88,16,3,0,4,3
9072,29,Bahia,22,10,58,477,95,8,2,0,0,11
9072,29,Gremio,13,1,42,329,92,11,1,0,0,5
9073,29,Juventude,18,4,45,336,83,24,3,0,0,4
9073,29,Bragantino,10,1,55,386,89,22,1,0,3,2
9074,29,Fluminense,9,4,52,452,89,16,1,0,0,4
9074,29,Vasco,10,5,48,395,90,13,1,0,0,1
9075,29,Santos,14,4,70,465,91,11,2,0,1,3
9075,29,Vitoria,10,3,30,146,71,17,4,0,1,3
8925,14,Bahia,16,5,54,444,90,9,1,0,0,6
8925,14,Internacional,8,2,46,390,89,11,2,1,1,5
9077,30,Atletico-MG,4,2,54,465,91,9,3,0,1,3
9077,30,Ceara,10,5,46,429,93,13,0,0,1,7
9076,30,Corinthians,9,4,60,365,90,13,4,1,2,6
9076,30,Vitoria,11,2,40,265,87,23,6,0,3,5
9078,30,Internacional,7,0,40,362,87,9,2,0,1,3
9078,30,Fluminense,19,7,60,522,92,13,0,0,1,6
9079,30,Sport,7,3,34,294,87,6,1,1,1,7
9079,30,Mirassol,9,6,66,521,95,7,2,0,3,1
9080,30,Flamengo,15,3,71,605,90,12,1,0,1,11
9080,30,Fortaleza,6,2,29,107,83,9,1,0,3,5
9081,30,Bahia,7,3,42,391,90,8,4,0,1,4
9081,30,Sao Paulo,10,5,58,563,91,10,2,0,2,5
9082,30,Gremio,20,7,51,310,95,11,3,0,1,4
9082,30,Juventude,9,4,49,316,89,31,7,1,0,3
9083,30,Botafogo-RJ,14,7,49,383,93,12,4,0,4,6
9083,30,Santos,8,7,51,298,89,8,4,0,0,6
9084,30,Bragantino,9,1,53,454,93,11,1,0,1,5
9084,30,Vasco,8,5,47,407,91,7,1,0,0,3
9085,30,Cruzeiro,10,4,49,269,88,16,5,1,1,8
9085,30,Palmeiras,15,3,51,251,86,25,2,0,1,4
8904,12,Fluminense,11,5,60,525,89,17,5,0,2,9
8904,12,Ceara,6,0,40,333,90,10,2,0,2,3
9087,31,Fortaleza,12,7,32,171,81,21,2,0,2,4
9087,31,Santos,19,7,68,460,91,17,4,0,2,7
9086,31,Vitoria,7,5,41,377,89,7,4,0,1,3
9086,31,Cruzeiro,12,8,59,312,87,15,4,0,1,5
9088,31,Mirassol,8,1,64,500,91,12,1,0,1,7
9088,31,Botafogo-RJ,8,1,36,236,86,22,4,0,0,2
9089,31,Flamengo,23,10,68,541,90,16,3,1,0,9
9089,31,Sport,5,3,32,222,84,15,2,0,3,8
9090,31,Fluminense,4,3,54,420,91,15,0,1,1,5
9090,31,Ceara,13,4,46,335,87,13,3,0,2,4
9091,31,Bahia,13,6,69,374,89,10,3,0,1,4
9091,31,Bragantino,4,2,31,178,80,19,5,0,2,3
9092,31,Corinthians,14,4,57,515,92,13,3,0,0,5
9092,31,Gremio,12,2,43,361,91,7,3,0,1,8
9094,31,Atletico-MG,5,2,23,117,69,10,4,1,0,1
9094,31,Internacional,20,9,77,549,93,17,7,0,4,7
9093,31,Juventude,16,10,51,349,88,15,2,0,0,4
9093,31,Palmeiras,10,3,49,343,89,15,1,0,2,1
9095,31,Sao Paulo,11,6,41,319,92,15,2,0,2,5
9095,31,Vasco,24,10,59,507,95,10,2,0,0,6
9096,32,Sport,7,2,48,412,91,22,3,0,4,4
9096,32,Juventude,6,4,52,308,92,16,3,0,3,5
9097,32,Vitoria,12,3,42,231,88,14,3,0,1,4
9097,32,Internacional,8,4,51,298,91,21,4,0,2,4
9098,32,Bragantino,13,6,57,356,87,19,7,0,1,6
9098,32,Corinthians,5,3,43,236,87,13,4,2,0,1
9099,32,Vasco,12,1,50,406,90,10,2,0,0,3
9099,32,Botafogo-RJ,20,7,50,374,94,10,3,0,3,8
9101,32,Atletico-MG,21,8,58,454,93,6,2,0,2,13
9101,32,Bahia,10,4,42,325,89,8,2,1,1,3
9100,32,Cruzeiro,11,7,45,279,88,17,3,0,0,6
9100,32,Gremio,14,6,55,343,89,14,2,0,2,5
9102,32,Flamengo,10,2,57,389,91,17,3,1,1,5
9102,32,Sao Paulo,15,4,43,380,90,12,2,0,1,3
9103,32,Mirassol,9,2,57,387,88,10,2,0,3,3
9103,32,Fluminense,14,6,43,299,86,21,4,0,1,4
9104,32,Ceara,11,3,45,374,90,18,3,0,1,5
9104,32,Fortaleza,6,4,47,212,83,11,3,0,0,4
9105,32,Santos,8,3,46,278,85,9,2,0,2,5
9105,32,Palmeiras,21,13,54,318,87,11,1,0,0,13
9106,33,Atletico-MG,18,5,64,539,94,6,0,0,3,4
9106,33,Sport,6,4,36,248,85,12,1,0,2,4
9107,33,Juventude,10,6,30,208,90,13,4,0,3,1
9107,33,Vasco,10,3,70,558,94,18,3,1,3,7
9108,33,Bahia,15,4,62,418,90,14,2,0,3,5
9108,33,Internacional,14,6,38,211,82,22,4,0,2,6
9109,33,Sao Paulo,11,4,60,497,90,10,1,0,1,7
9109,33,Bragantino,7,2,40,229,88,19,2,0,2,1
9111,33,Fluminense,8,2,52,349,90,16,3,0,1,1
9111,33,Cruzeiro,14,4,48,304,88,16,6,0,2,5
